,length,order,sorting_method,comparisons,replacements,milliseconds
0,100,ascending,quicksort2,3775,50,0
1,100,ascending,quicksort3,0,0,0
2,100,ascending,quicksort5,4995,90,0
3,100,ascending,quicksort1,5049,99,0
4,100,ascending,quicksort4,2547,99,0
5,100,ascending,mergesort,109,700,0
6,100,ascending,natural_mergesort,98,200,0
7,1000,ascending,quicksort2,499225,950,36
8,1000,ascending,quicksort3,495450,900,36
9,1000,ascending,quicksort5,500445,990,37
10,1000,ascending,quicksort1,500499,999,38
11,1000,ascending,quicksort4,250497,999,20
12,1000,ascending,mergesort,1011,10000,2
13,1000,ascending,natural_mergesort,998,2000,0
14,10000,ascending,quicksort2,50003725,9950,3865
15,10000,ascending,quicksort3,49999950,9900,3848
16,10000,ascending,quicksort5,50004945,9990,3724
17,10000,ascending,mergesort,10019,140000,28
18,10000,ascending,natural_mergesort,9998,20000,5
19,2000,ascending,quicksort2,1999725,1950,140
20,2000,ascending,quicksort3,1995950,1900,149
21,2000,ascending,quicksort5,2000945,1990,143
22,2000,ascending,quicksort1,2000999,1999,150
23,2000,ascending,quicksort4,1000997,1999,76
24,2000,ascending,mergesort,2012,22000,5
25,2000,ascending,natural_mergesort,1998,4000,1
26,250,ascending,quicksort2,30100,200,2
27,250,ascending,quicksort3,26325,150,2
28,250,ascending,quicksort5,31320,240,2
29,250,ascending,quicksort1,31374,249,3
30,250,ascending,quicksort4,15747,249,1
31,250,ascending,mergesort,259,2000,0
32,250,ascending,natural_mergesort,248,500,0
33,50,ascending,quicksort2,0,0,0
34,50,ascending,quicksort3,0,0,0
35,50,ascending,quicksort5,1220,40,0
36,50,ascending,quicksort1,1274,49,0
37,50,ascending,quicksort4,647,49,0
38,50,ascending,mergesort,58,300,0
39,50,ascending,natural_mergesort,48,100,0
40,500,ascending,quicksort2,123975,450,8
41,500,ascending,quicksort3,120200,400,9
42,500,ascending,quicksort5,125195,490,9
43,500,ascending,quicksort1,125249,499,10
44,500,ascending,quicksort4,62747,499,4
45,500,ascending,mergesort,510,4500,1
46,500,ascending,natural_mergesort,498,1000,0
47,5000,ascending,quicksort2,12501225,4950,918
48,5000,ascending,quicksort3,12497450,4900,945
49,5000,ascending,quicksort5,12502445,4990,930
50,5000,ascending,mergesort,5018,65000,12
51,5000,ascending,natural_mergesort,4998,10000,2
52,100,random,quicksort2,1008,801,0
53,100,random,quicksort3,2447,2447,0
54,100,random,quicksort5,664,244,0
55,100,random,quicksort1,755,166,0
56,100,random,quicksort4,761,167,0
57,100,random,mergesort,109,700,0
58,100,random,natural_mergesort,32,2090,1
59,1000,random,quicksort2,14326,8762,2
60,1000,random,quicksort3,20169,15539,4
61,1000,random,quicksort5,10562,2931,1
62,1000,random,quicksort1,11371,2400,1
63,1000,random,quicksort4,10875,2393,1
64,1000,random,mergesort,1011,10000,2
65,1000,random,natural_mergesort,382,207905,41
66,10000,random,quicksort2,191082,96288,31
67,10000,random,quicksort3,265222,182363,49
68,10000,random,quicksort5,152983,37130,19
69,10000,random,quicksort1,161055,31477,20
